Moyenne à l'issue du 1er groupe,Nombre de candidats
0,152
0.1,15
0.2,15
0.3,18
0.4,22
0.5,34
0.6,33
0.7,23
0.8,27
0.9,15
1,38
1.1,27
1.2,31
1.3,42
1.4,26
1.5,36
1.6,32
1.7,35
1.8,28
1.9,22
2,51
2.1,31
2.2,40
2.3,45
2.4,35
2.5,39
2.6,35
2.7,41
2.8,42
2.9,33
3,45
3.1,39
3.2,45
3.3,49
3.4,38
3.5,57
3.6,51
3.7,51
3.8,57
3.9,45
4,76
4.1,63
4.2,54
4.3,59
4.4,57
4.5,120
4.6,96
4.7,105
4.8,95
4.9,99
5,152
5.1,134
5.2,154
5.3,147
5.4,154
5.5,246
5.6,172
5.7,240
5.8,224
5.9,217
6,387
6.1,321
6.2,399
6.3,382
6.4,354
6.5,558
6.6,509
6.7,556
6.8,628
6.9,540
7,875
7.1,729
7.2,909
7.3,938
7.4,794
7.5,1164
7.6,930
7.7,842
7.8,600
7.9,294
8,4347
8.1,1566
8.2,1934
8.3,1894
8.4,1618
8.5,2519
8.6,2141
8.7,2465
8.8,2467
8.9,2226
9,3462
9.1,2679
9.2,3295
9.3,2986
9.4,2642
9.5,3814
9.6,2800
9.7,2197
9.8,1348
9.9,542
10,12315
10.1,4143
10.2,4535
10.3,4115
10.4,3604
10.5,5347
10.6,4107
10.7,4972
10.8,4565
10.9,3853
11,6003
11.1,4486
11.2,5213
11.3,4665
11.4,4043
11.5,5830
11.6,4337
11.7,3994
11.8,2541
11.9,1089
12,12310
12.1,4851
12.2,5137
12.3,4561
12.4,3996
12.5,5748
12.6,4344
12.7,4887
12.8,4482
12.9,3675
13,5639
13.1,4031
13.2,4676
13.3,4182
13.4,3395
13.5,5037
13.6,3564
13.7,2889
13.8,1590
13.9,432
14,11136
14.1,3682
14.2,3829
14.3,3449
14.4,2895
14.5,4210
14.6,3064
14.7,3434
14.8,3067
14.9,2437
15,3696
15.1,2620
15.2,3016
15.3,2670
15.4,2155
15.5,3222
15.6,2108
15.7,1584
15.8,625
15.9,99
16,7538
16.1,2147
16.2,2315
16.3,2059
16.4,1671
16.5,2324
16.6,1647
16.7,1765
16.8,1694
16.9,1247
17,1989
17.1,1324
17.2,1500
17.3,1358
17.4,1005
17.5,1512
17.6,1024
17.7,1097
17.8,1036
17.9,744
18,1115
18.1,719
18.2,768
18.3,658
18.4,550
18.5,771
18.6,447
18.7,499
18.8,415
18.9,322
19,443
19.1,268
19.2,268
19.3,252
19.4,165
19.5,203
19.6,124
19.7,130
19.8,112
19.9,76
20,312
